"CN","PREV_TRE_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE"
6.5202545010661e+13,,2000,2,1,8,20010,1,5.1,36,36,746,12
6.5202547010661e+13,,2000,2,1,9,20010,1,3.6,33,,746,12
6.5202551010661e+13,,2000,2,1,10,20010,1,2.7,27,,746,12
6.5202555010661e+13,,2000,2,1,11,20010,1,2.5,26,,746,12
6.5202559010661e+13,,2000,2,1,12,20010,1,1.5,18,,746,12
6.5202563010661e+13,,2000,2,1,13,20010,1,2.3,24,,746,12
6.5202567010661e+13,,2000,2,2,1,20010,1,5,33,33,746,12
6.5202570010661e+13,,2000,2,2,2,20010,1,5.8,34,34,746,12
6.5202577010661e+13,,2000,2,2,3,20010,1,6.1,36,36,746,12
6.5202581010661e+13,,2000,2,2,4,20010,1,3.4,32,,746,12
6.5202686010661e+13,,2000,2,3,1,20010,1,6.5,24,24,94,12
6.5202688010661e+13,,2000,2,3,2,20010,1,6.1,22,22,94,12
6.5202585010661e+13,,2000,2,4,1,20010,1,5.6,39,39,746,12
6.5202587010661e+13,,2000,2,4,2,20010,1,7.2,41,41,746,12
6.5202589010661e+13,,2000,2,4,3,20010,1,5.3,41,41,746,12
6.5202591010661e+13,,2000,2,4,4,20010,1,9.9,47,47,105,12
6.5202593010661e+13,,2000,2,4,5,20010,1,10.7,43,43,746,12
6.5202595010661e+13,,2000,2,4,6,20010,1,6.2,35,35,746,12
6.5202597010661e+13,,2000,2,4,7,20010,1,7.4,51,51,746,12
6.5202599010661e+13,,2000,2,4,9,20010,1,9.5,55,55,746,12
6.5202601010661e+13,,2000,2,4,10,20010,1,2.4,25,,746,12
6.5202605010661e+13,,2000,2,101,1,20010,1,2.7,,,746,12
6.5202612010661e+13,,2000,2,101,2,20010,1,3.2,,,746,12
6.5202619010661e+13,,2000,2,101,3,20010,1,4.2,,,746,12
6.5202626010661e+13,,2000,2,101,4,20010,1,3.4,,,746,12
6.5202633010661e+13,,2000,2,101,5,20010,1,2.7,,,746,12
6.5202642010661e+13,,2000,2,101,6,20010,1,2.6,,,746,12
