"TREE_UNIQUE_ID","PLOT_UNIQUE_ID","TREE_CN","PREV_TRE_CN","PLT_CN","INVYR","UNITCD","SUBP","TREE","PLOT","STATUSCD","DIA","HT","ACTUALHT","SPCD","CYCLE","COUNTYCD","STATECD","PREV_PLT_CN","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","COND_NONSAMPLE_REASN_CD","last_meas_year","last_status","last_DIA","is_sapling","new_sapling","sapling_sapling","sapling_tree","sapling_dead","sapling_removed"
"9_1_11_105_2_1","9_1_11_105",242156028010661,NA,168930843010661,2010,1,2,1,105,1,1.1,15,NA,372,6,11,9,74336540010538,1,NA,2010,8,17,NA,1,1,1,0,41.54136,-72.222786,520,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE
"9_1_11_105_2_1","9_1_11_105",459832835489998,242156028010661,304031886489998,2016,1,2,1,105,1,1.3,16,16,372,7,11,9,168930843010661,1,NA,2016,9,23,6.1,2,1,2,0,41.54136,-72.222786,520,NA,2010,1,1.1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_105_4_1","9_1_11_105",242156047010661,NA,168930843010661,2010,1,4,1,105,1,1.4,17,NA,372,6,11,9,74336540010538,1,NA,2010,8,17,NA,1,1,1,0,41.54136,-72.222786,520,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE
"9_1_11_105_4_1","9_1_11_105",459832854489998,242156047010661,304031886489998,2016,1,4,1,105,1,2.8,23,23,372,7,11,9,168930843010661,1,NA,2016,9,23,6.1,2,1,2,0,41.54136,-72.222786,520,NA,2010,1,1.4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_105_4_2","9_1_11_105",242156048010661,NA,168930843010661,2010,1,4,2,105,1,1.5,18,NA,372,6,11,9,74336540010538,1,NA,2010,8,17,NA,1,1,1,0,41.54136,-72.222786,520,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE
"9_1_11_105_4_2","9_1_11_105",459832855489998,242156048010661,304031886489998,2016,1,4,2,105,1,2.4,16,16,372,7,11,9,168930843010661,1,NA,2016,9,23,6.1,2,1,2,0,41.54136,-72.222786,520,NA,2010,1,1.5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_107_1_2","9_1_11_107",163788946010661,NA,122555903010661,2007,1,1,2,107,1,2.2,24,NA,541,5,11,9,NA,1,NA,2008,4,29,NA,1,1,3,2,41.505719,-72.164971,300,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE
"9_1_11_107_1_2","9_1_11_107",188372635020004,163788946010661,247050469010661,2012,1,1,2,107,1,2.1,23,NA,541,6,11,9,122555903010661,1,NA,2012,4,25,4,2,1,3,2,41.505719,-72.164971,300,NA,2008,1,2.2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_107_1_2","9_1_11_107",647441685126144,188372635020004,445525723489998,2018,1,1,2,107,1,2.2,17,17,541,7,11,9,247050469010661,1,NA,2018,3,27,5.9,2,1,4,0,41.505719,-72.164971,300,NA,2012,1,2.1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_107_1_6","9_1_11_107",647441689126144,NA,445525723489998,2018,1,1,6,107,1,1.1,12,12,372,7,11,9,247050469010661,1,NA,2018,3,27,5.9,2,1,4,0,41.505719,-72.164971,300,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE
"9_1_11_107_4_1","9_1_11_107",163788952010661,NA,122555903010661,2007,1,4,1,107,1,1.2,16,NA,379,5,11,9,NA,1,NA,2008,4,29,NA,1,1,3,2,41.505719,-72.164971,300,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE
"9_1_11_107_4_1","9_1_11_107",188372642020004,163788952010661,247050469010661,2012,1,4,1,107,2,NA,NA,NA,379,6,11,9,122555903010661,1,NA,2012,4,25,4,2,1,3,2,41.505719,-72.164971,300,NA,2008,1,1.2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"9_1_11_135_2_1","9_1_11_135",62173009010538,NA,55923094010538,2004,1,2,1,135,1,1.6,19,NA,762,5,11,9,NA,1,NA,2003,7,24,NA,1,1,4,0,41.625494,-72.231608,420,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE
"9_1_11_135_2_1","9_1_11_135",207503122010661,62173009010538,119774157010661,2008,1,2,1,135,2,NA,NA,NA,762,6,11,9,55923094010538,1,NA,2008,10,6,5.2,2,1,5,0,41.625494,-72.231608,420,NA,2003,1,1.6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"9_1_11_135_2_2","9_1_11_135",62173011010538,NA,55923094010538,2004,1,2,2,135,1,3.8,34,NA,762,5,11,9,NA,1,NA,2003,7,24,NA,1,1,4,0,41.625494,-72.231608,420,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE
"9_1_11_135_2_2","9_1_11_135",207503123010661,62173011010538,119774157010661,2008,1,2,2,135,1,6.2,36,36,762,6,11,9,55923094010538,1,NA,2008,10,6,5.2,2,1,5,0,41.625494,-72.231608,420,NA,2003,1,3.8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"9_1_11_135_2_2","9_1_11_135",255170541489998,207503123010661,14167112020004,2013,1,2,2,135,1,7.4,50,50,762,7,11,9,119774157010661,1,NA,2014,2,11,5.4,2,1,4,0,41.625494,-72.231608,420,NA,2008,1,6.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_135_2_2","9_1_11_135",1225590495290487,255170541489998,567481534126144,2020,1,2,2,135,1,8.2,56,56,762,8,11,9,14167112020004,1,NA,2020,3,30,6.1,2,1,4,1,41.625494,-72.231608,420,NA,2014,1,7.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_135_2_3","9_1_11_135",62173013010538,NA,55923094010538,2004,1,2,3,135,1,1.7,15,NA,68,5,11,9,NA,1,NA,2003,7,24,NA,1,1,4,0,41.625494,-72.231608,420,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE
"9_1_11_135_2_3","9_1_11_135",207503124010661,62173013010538,119774157010661,2008,1,2,3,135,2,NA,NA,NA,68,6,11,9,55923094010538,1,NA,2008,10,6,5.2,2,1,5,0,41.625494,-72.231608,420,NA,2003,1,1.7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"9_1_11_135_2_4","9_1_11_135",62173015010538,NA,55923094010538,2004,1,2,4,135,1,1.9,21,NA,762,5,11,9,NA,1,NA,2003,7,24,NA,1,1,4,0,41.625494,-72.231608,420,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE
"9_1_11_135_2_4","9_1_11_135",207503125010661,62173015010538,119774157010661,2008,1,2,4,135,1,2.8,28,NA,762,6,11,9,55923094010538,1,NA,2008,10,6,5.2,2,1,5,0,41.625494,-72.231608,420,NA,2003,1,1.9,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_135_2_4","9_1_11_135",255170542489998,207503125010661,14167112020004,2013,1,2,4,135,1,3.3,31,NA,762,7,11,9,119774157010661,1,NA,2014,2,11,5.4,2,1,4,0,41.625494,-72.231608,420,NA,2008,1,2.8,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_135_2_4","9_1_11_135",1225590496290487,255170542489998,567481534126144,2020,1,2,4,135,1,3.5,28,20,762,8,11,9,14167112020004,1,NA,2020,3,30,6.1,2,1,4,1,41.625494,-72.231608,420,NA,2014,1,3.3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_135_2_5","9_1_11_135",62173017010538,NA,55923094010538,2004,1,2,5,135,1,1.4,17,NA,762,5,11,9,NA,1,NA,2003,7,24,NA,1,1,4,0,41.625494,-72.231608,420,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE
"9_1_11_135_2_5","9_1_11_135",207503126010661,62173017010538,119774157010661,2008,1,2,5,135,1,1.6,19,NA,762,6,11,9,55923094010538,1,NA,2008,10,6,5.2,2,1,5,0,41.625494,-72.231608,420,NA,2003,1,1.4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_135_2_5","9_1_11_135",255170543489998,207503126010661,14167112020004,2013,1,2,5,135,2,NA,NA,NA,762,7,11,9,119774157010661,1,NA,2014,2,11,5.4,2,1,4,0,41.625494,-72.231608,420,NA,2008,1,1.6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"9_1_11_135_4_1","9_1_11_135",62173055010538,NA,55923094010538,2004,1,4,1,135,1,4,35,NA,837,5,11,9,NA,1,NA,2003,7,24,NA,1,1,4,0,41.625494,-72.231608,420,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE
"9_1_11_135_4_1","9_1_11_135",207503148010661,62173055010538,119774157010661,2008,1,4,1,135,2,NA,NA,NA,837,6,11,9,55923094010538,1,NA,2008,10,6,5.2,2,1,5,0,41.625494,-72.231608,420,NA,2003,1,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"9_1_11_135_4_2","9_1_11_135",62173057010538,NA,55923094010538,2004,1,4,2,135,1,4,35,NA,316,5,11,9,NA,1,NA,2003,7,24,NA,1,1,4,0,41.625494,-72.231608,420,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE
"9_1_11_135_4_2","9_1_11_135",207503149010661,62173057010538,119774157010661,2008,1,4,2,135,1,4.3,37,NA,316,6,11,9,55923094010538,1,NA,2008,10,6,5.2,2,1,5,0,41.625494,-72.231608,420,NA,2003,1,4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_135_4_2","9_1_11_135",255170566489998,207503149010661,14167112020004,2013,1,4,2,135,1,4.6,38,NA,316,7,11,9,119774157010661,1,NA,2014,2,11,5.4,2,1,4,0,41.625494,-72.231608,420,NA,2008,1,4.3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_135_4_2","9_1_11_135",1225590517290487,255170566489998,567481534126144,2020,1,4,2,135,1,4.6,40,18,316,8,11,9,14167112020004,1,NA,2020,3,30,6.1,2,1,4,1,41.625494,-72.231608,420,NA,2014,1,4.6,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_135_4_3","9_1_11_135",62173059010538,NA,55923094010538,2004,1,4,3,135,1,3.7,33,NA,316,5,11,9,NA,1,NA,2003,7,24,NA,1,1,4,0,41.625494,-72.231608,420,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE
"9_1_11_135_4_3","9_1_11_135",207503150010661,62173059010538,119774157010661,2008,1,4,3,135,1,3.8,34,NA,316,6,11,9,55923094010538,1,NA,2008,10,6,5.2,2,1,5,0,41.625494,-72.231608,420,NA,2003,1,3.7,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_135_4_3","9_1_11_135",255170567489998,207503150010661,14167112020004,2013,1,4,3,135,1,4.1,36,NA,316,7,11,9,119774157010661,1,NA,2014,2,11,5.4,2,1,4,0,41.625494,-72.231608,420,NA,2008,1,3.8,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_135_4_3","9_1_11_135",1225590518290487,255170567489998,567481534126144,2020,1,4,3,135,1,4.3,36,36,316,8,11,9,14167112020004,1,NA,2020,3,30,6.1,2,1,4,1,41.625494,-72.231608,420,NA,2014,1,4.1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_157_1_23","9_1_11_157",163788550010661,NA,122555909010661,2007,1,1,23,157,1,2,22,NA,931,5,11,9,NA,1,NA,2008,4,22,9.5,1,1,5,0,41.44374,-72.223016,180,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE
"9_1_11_157_1_23","9_1_11_157",188372690020004,163788550010661,247050471010661,2012,1,1,23,157,1,2.1,23,NA,931,6,11,9,122555909010661,1,NA,2012,4,25,4,2,1,4,0,41.44374,-72.223016,180,NA,2008,1,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_157_1_23","9_1_11_157",647441745126144,188372690020004,445525725489998,2018,1,1,23,157,2,2.2,21,21,931,7,11,9,247050471010661,1,NA,2018,3,27,5.9,2,1,4,0,41.44374,-72.223016,180,NA,2012,1,2.1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"9_1_11_157_2_10","9_1_11_157",163788560010661,NA,122555909010661,2007,1,2,10,157,1,1.1,15,NA,531,5,11,9,NA,1,NA,2008,4,22,9.5,1,1,5,0,41.44374,-72.223016,180,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE
"9_1_11_157_2_10","9_1_11_157",188372701020004,163788560010661,247050471010661,2012,1,2,10,157,1,1.3,17,NA,531,6,11,9,122555909010661,1,NA,2012,4,25,4,2,1,4,0,41.44374,-72.223016,180,NA,2008,1,1.1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_157_2_10","9_1_11_157",647441756126144,188372701020004,445525725489998,2018,1,2,10,157,1,1.7,22,22,531,7,11,9,247050471010661,1,NA,2018,3,27,5.9,2,1,4,0,41.44374,-72.223016,180,NA,2012,1,1.3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_157_2_6","9_1_11_157",163788556010661,NA,122555909010661,2007,1,2,6,157,1,4.3,37,NA,372,5,11,9,NA,1,NA,2008,4,22,9.5,1,1,5,0,41.44374,-72.223016,180,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE
"9_1_11_157_2_6","9_1_11_157",188372697020004,163788556010661,247050471010661,2012,1,2,6,157,1,4.5,38,NA,372,6,11,9,122555909010661,1,NA,2012,4,25,4,2,1,4,0,41.44374,-72.223016,180,NA,2008,1,4.3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_157_2_6","9_1_11_157",647441752126144,188372697020004,445525725489998,2018,1,2,6,157,1,4.7,49,49,372,7,11,9,247050471010661,1,NA,2018,3,27,5.9,2,1,4,0,41.44374,-72.223016,180,NA,2012,1,4.5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"9_1_11_157_2_7","9_1_11_157",163788557010661,NA,122555909010661,2007,1,2,7,157,1,3.3,31,NA,372,5,11,9,NA,1,NA,2008,4,22,9.5,1,1,5,0,41.44374,-72.223016,180,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE
"9_1_11_157_2_7","9_1_11_157",188372698020004,163788557010661,247050471010661,2012,1,2,7,157,1,3.4,32,NA,372,6,11,9,122555909010661,1,NA,2012,4,25,4,2,1,4,0,41.44374,-72.223016,180,NA,2008,1,3.3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
