"PLOT_UNIQUE_ID","CYCLE","MEASYEAR","n_saplings","n_new_saplings","n_sapling_saplings","n_saplings_to_trees","n_saplings_died","n_saplings_removed","n_saplings_previous","prev_measyear","first_measyear","is_first_measyear","n_sapling_saplings_prop","n_saplings_to_trees_prop","n_saplings_died_prop","n_saplings_removed_prop"
"9_1_11_105",7,2016,3,0,3,0,0,0,3,2010,2010,FALSE,1,0,0,0
"9_1_11_107",6,2012,1,0,1,0,1,0,2,2008,2008,FALSE,0.5,0,0.5,0
"9_1_11_107",7,2018,2,1,1,0,0,0,1,2012,2008,FALSE,1,0,0,0
"9_1_11_135",6,2008,4,0,4,1,3,0,8,2003,2003,FALSE,0.5,0.125,0.375,0
"9_1_11_135",7,2014,3,0,3,0,1,0,4,2008,2003,FALSE,0.75,0,0.25,0
"9_1_11_135",8,2020,3,0,3,0,0,0,3,2014,2003,FALSE,1,0,0,0
"9_1_11_157",6,2012,7,0,7,0,0,0,7,2008,2008,FALSE,1,0,0,0
"9_1_11_157",7,2018,6,0,6,0,1,0,7,2012,2008,FALSE,0.857142857142857,0,0.142857142857143,0
"9_1_11_181",6,2011,6,0,6,0,0,0,6,2006,2006,FALSE,1,0,0,0
"9_1_11_181",7,2018,7,1,6,0,0,0,6,2011,2006,FALSE,1,0,0,0
"9_1_11_202",6,2010,7,0,7,0,1,0,8,2005,2005,FALSE,0.875,0,0.125,0
"9_1_11_202",7,2015,0,0,0,0,0,0,7,2010,2005,FALSE,0,0,0,0
"9_1_11_205",6,2010,0,0,0,0,1,0,1,2006,2006,FALSE,0,0,1,0
"9_1_11_217",6,2008,1,0,1,0,0,0,1,2003,2003,FALSE,1,0,0,0
"9_1_11_217",7,2014,1,0,1,0,0,0,1,2008,2003,FALSE,1,0,0,0
"9_1_11_217",8,2020,0,0,0,0,1,0,1,2014,2003,FALSE,0,0,1,0
"9_1_11_218",6,2010,6,2,4,0,0,0,4,2006,2006,FALSE,1,0,0,0
"9_1_11_218",7,2016,5,0,5,0,0,0,6,2010,2006,FALSE,0.833333333333333,0,0,0
"9_1_11_24",6,2009,0,0,0,0,2,0,2,2003,2003,FALSE,0,0,1,0
"9_1_11_248",6,2009,6,0,6,0,1,0,7,2004,2004,FALSE,0.857142857142857,0,0.142857142857143,0
"9_1_11_248",7,2015,6,0,6,0,3,0,6,2009,2004,FALSE,1,0,0.5,0
"9_1_11_264",6,2008,14,0,14,1,1,0,16,2004,2004,FALSE,0.875,0.0625,0.0625,0
"9_1_11_264",7,2013,13,0,13,0,1,0,14,2008,2004,FALSE,0.928571428571429,0,0.0714285714285714,0
"9_1_11_264",8,2021,10,0,10,0,3,0,13,2013,2004,FALSE,0.769230769230769,0,0.230769230769231,0
"9_1_11_266",6,2012,3,1,2,0,1,0,3,2007,2007,FALSE,0.666666666666667,0,0.333333333333333,0
"9_1_11_266",7,2016,3,0,3,0,0,0,3,2012,2007,FALSE,1,0,0,0
"9_1_11_269",6,2011,2,1,1,0,0,0,1,2006,2006,FALSE,1,0,0,0
"9_1_11_269",7,2017,6,1,5,0,0,0,2,2011,2006,FALSE,2.5,0,0,0
"9_1_11_313",6,2012,5,0,5,0,2,0,7,2006,2006,FALSE,0.714285714285714,0,0.285714285714286,0
"9_1_11_313",7,2018,8,1,7,0,0,0,5,2012,2006,FALSE,1.4,0,0,0
"9_1_11_315",6,2008,0,0,0,0,0,2,2,2003,2003,FALSE,0,0,0,1
"9_1_11_315",8,2020,1,1,0,0,0,0,0,2008,2003,FALSE,NA,NA,NA,NA
"9_1_11_33",6,2012,1,0,1,0,0,0,1,2008,2008,FALSE,1,0,0,0
"9_1_11_33",7,2018,1,0,1,0,0,0,1,2012,2008,FALSE,1,0,0,0
"9_1_11_360",6,2012,8,1,7,0,4,0,11,2008,2008,FALSE,0.636363636363636,0,0.363636363636364,0
"9_1_11_360",7,2018,3,0,3,0,5,0,8,2012,2008,FALSE,0.375,0,0.625,0
"9_1_11_394",6,2010,2,0,2,0,0,0,2,2005,2005,FALSE,1,0,0,0
"9_1_11_394",7,2014,2,0,2,0,0,0,2,2010,2005,FALSE,1,0,0,0
"9_1_11_394",8,2021,2,0,2,0,0,0,2,2014,2005,FALSE,1,0,0,0
"9_1_11_395",6,2010,2,0,2,0,0,0,2,2006,2006,FALSE,1,0,0,0
"9_1_11_395",7,2016,0,0,0,0,0,0,2,2010,2006,FALSE,0,0,0,0
"9_1_11_397",6,2009,3,1,2,0,4,0,6,2003,2003,FALSE,0.333333333333333,0,0.666666666666667,0
"9_1_11_397",7,2014,0,0,0,0,0,0,3,2009,2003,FALSE,0,0,0,0
"9_1_11_397",8,2020,2,2,0,0,0,0,0,2014,2003,FALSE,NA,NA,NA,NA
"9_1_11_41",6,2010,4,0,4,0,0,0,4,2004,2004,FALSE,1,0,0,0
"9_1_11_41",7,2014,3,0,3,1,0,0,4,2010,2004,FALSE,0.75,0.25,0,0
"9_1_11_41",8,2021,0,0,0,0,0,3,3,2014,2004,FALSE,0,0,0,1
"9_1_11_450",6,2010,5,2,3,0,0,0,3,2006,2006,FALSE,1,0,0,0
"9_1_11_450",7,2016,4,1,3,0,2,0,5,2010,2006,FALSE,0.6,0,0.4,0
"9_1_11_48",6,2009,1,0,1,0,0,0,1,2003,2003,FALSE,1,0,0,0
"9_1_11_48",7,2014,0,0,0,0,0,0,1,2009,2003,FALSE,0,0,0,0
"9_1_11_495",6,2010,2,0,2,0,0,0,2,2006,2006,FALSE,1,0,0,0
"9_1_11_495",7,2017,2,1,1,0,1,0,2,2010,2006,FALSE,0.5,0,0.5,0
"9_1_11_5",6,2008,0,0,0,0,0,0,6,2003,2003,FALSE,0,0,0,0
"9_1_11_6",6,2009,0,0,0,0,0,0,3,2003,2003,FALSE,0,0,0,0
"9_1_11_6",7,2013,2,2,0,0,0,0,0,2009,2003,FALSE,NA,NA,NA,NA
"9_1_11_6",8,2020,0,0,0,0,2,0,2,2013,2003,FALSE,0,0,1,0
"9_1_11_600",7,2018,0,0,0,0,0,0,1,2013,2013,FALSE,0,0,0,0
"9_1_11_601",6,2012,1,0,1,0,0,0,1,2006,2006,FALSE,1,0,0,0
"9_1_11_601",7,2018,0,0,0,0,1,0,1,2012,2006,FALSE,0,0,1,0
"9_1_11_603",6,2012,1,0,1,0,0,0,1,2008,2008,FALSE,1,0,0,0
