"","TREE_COMPOSITE_ID","LAT","LON","OWNCD","ADFORCD","NYEARS"
"1","4_1_11_80342_1_1",33.561189,-109.331941,11,"301","2"
"2","4_1_11_80342_1_14",33.561189,-109.331941,11,"301","2"
"3","4_1_11_80342_1_15",33.561189,-109.331941,11,"301","2"
"4","4_1_11_80342_1_2",33.561189,-109.331941,11,"301","2"
"5","4_1_11_80342_1_3",33.561189,-109.331941,11,"301","2"
"6","4_1_11_80342_1_4",33.561189,-109.331941,11,"301","2"
"7","4_1_11_80342_2_1",33.561189,-109.331941,11,"301","2"
"8","4_1_11_80342_2_11",33.561189,-109.331941,11,"301","2"
"9","4_1_11_80342_2_12",33.561189,-109.331941,11,"301","2"
"10","4_1_11_80342_2_14",33.561189,-109.331941,11,"301","2"
"11","4_1_11_80342_2_15",33.561189,-109.331941,11,"301","2"
"12","4_1_11_80342_2_16",33.561189,-109.331941,11,"301","2"
"13","4_1_11_80342_2_17",33.561189,-109.331941,11,"301","2"
"14","4_1_11_80342_2_19",33.561189,-109.331941,11,"301","2"
"15","4_1_11_80342_2_2",33.561189,-109.331941,11,"301","2"
"16","4_1_11_80342_2_4",33.561189,-109.331941,11,"301","2"
"17","4_1_11_80342_2_5",33.561189,-109.331941,11,"301","2"
"18","4_1_11_80342_2_6",33.561189,-109.331941,11,"301","2"
"19","4_1_11_80342_2_9",33.561189,-109.331941,11,"301","2"
"20","4_1_11_80342_3_1",33.561189,-109.331941,11,"301","2"
"21","4_1_11_80342_3_10",33.561189,-109.331941,11,"301","2"
"22","4_1_11_80342_3_11",33.561189,-109.331941,11,"301","2"
"23","4_1_11_80342_3_13",33.561189,-109.331941,11,"301","2"
"24","4_1_11_80342_3_2",33.561189,-109.331941,11,"301","2"
"25","4_1_11_80342_3_3",33.561189,-109.331941,11,"301","2"
"26","4_1_11_80342_3_4",33.561189,-109.331941,11,"301","2"
"27","4_1_11_80342_3_7",33.561189,-109.331941,11,"301","2"
"28","4_1_11_80342_3_8",33.561189,-109.331941,11,"301","2"
"29","4_1_11_80342_3_9",33.561189,-109.331941,11,"301","2"
"30","4_1_11_80342_4_4",33.561189,-109.331941,11,"301","2"
"31","4_1_11_80342_4_6",33.561189,-109.331941,11,"301","2"
"32","4_1_11_80342_4_7",33.561189,-109.331941,11,"301","2"
"33","4_1_11_80342_4_9",33.561189,-109.331941,11,"301","2"
"34","4_1_11_80493_1_1",33.698489,-109.274746,11,"301","2"
"35","4_1_11_80493_2_1",33.698489,-109.274746,11,"301","2"
"36","4_1_11_80493_2_10",33.698489,-109.274746,11,"301","2"
"37","4_1_11_80493_2_11",33.698489,-109.274746,11,"301","2"
"38","4_1_11_80493_2_7",33.698489,-109.274746,11,"301","2"
"39","4_1_11_80493_2_8",33.698489,-109.274746,11,"301","2"
"40","4_1_11_80493_2_9",33.698489,-109.274746,11,"301","2"
"41","4_1_11_80493_3_1",33.698489,-109.274746,11,"301","2"
"42","4_1_11_80493_3_3",33.698489,-109.274746,11,"301","2"
"43","4_1_11_80493_3_6",33.698489,-109.274746,11,"301","2"
"44","4_1_11_80493_3_8",33.698489,-109.274746,11,"301","2"
"45","4_1_11_80493_4_1",33.698489,-109.274746,11,"301","2"
"46","4_1_11_80493_4_10",33.698489,-109.274746,11,"301","2"
"47","4_1_11_80493_4_11",33.698489,-109.274746,11,"301","2"
"48","4_1_11_80493_4_12",33.698489,-109.274746,11,"301","2"
"49","4_1_11_80493_4_13",33.698489,-109.274746,11,"301","2"
"50","4_1_11_80493_4_16",33.698489,-109.274746,11,"301","2"
"51","4_1_11_80493_4_17",33.698489,-109.274746,11,"301","2"
"52","4_1_11_80493_4_18",33.698489,-109.274746,11,"301","2"
"53","4_1_11_80493_4_19",33.698489,-109.274746,11,"301","2"
"54","4_1_11_80493_4_2",33.698489,-109.274746,11,"301","2"
"55","4_1_11_80493_4_20",33.698489,-109.274746,11,"301","2"
"56","4_1_11_80493_4_3",33.698489,-109.274746,11,"301","2"
"57","4_1_11_80493_4_4",33.698489,-109.274746,11,"301","2"
"58","4_1_11_80493_4_6",33.698489,-109.274746,11,"301","2"
"59","4_1_11_80493_4_7",33.698489,-109.274746,11,"301","2"
"60","4_1_11_80493_4_8",33.698489,-109.274746,11,"301","2"
"61","4_1_11_80493_4_9",33.698489,-109.274746,11,"301","2"
"62","4_1_11_80527_1_1",33.56193,-109.061769,11,"301","2"
"63","4_1_11_80527_1_12",33.56193,-109.061769,11,"301","2"
"64","4_1_11_80527_1_13",33.56193,-109.061769,11,"301","2"
"65","4_1_11_80527_1_2",33.56193,-109.061769,11,"301","2"
"66","4_1_11_80527_1_3",33.56193,-109.061769,11,"301","2"
"67","4_1_11_80527_1_4",33.56193,-109.061769,11,"301","2"
"68","4_1_11_80527_1_5",33.56193,-109.061769,11,"301","2"
"69","4_1_11_80527_1_6",33.56193,-109.061769,11,"301","2"
"70","4_1_11_80527_1_7",33.56193,-109.061769,11,"301","2"
"71","4_1_11_80527_1_9",33.56193,-109.061769,11,"301","2"
"72","4_1_11_80527_2_1",33.56193,-109.061769,11,"301","2"
"73","4_1_11_80527_2_10",33.56193,-109.061769,11,"301","2"
"74","4_1_11_80527_2_2",33.56193,-109.061769,11,"301","2"
"75","4_1_11_80527_2_3",33.56193,-109.061769,11,"301","2"
"76","4_1_11_80527_2_4",33.56193,-109.061769,11,"301","2"
"77","4_1_11_80527_2_5",33.56193,-109.061769,11,"301","2"
"78","4_1_11_80527_2_6",33.56193,-109.061769,11,"301","2"
"79","4_1_11_80527_2_7",33.56193,-109.061769,11,"301","2"
"80","4_1_11_80527_2_8",33.56193,-109.061769,11,"301","2"
"81","4_1_11_80527_2_9",33.56193,-109.061769,11,"301","2"
"82","4_1_11_80527_3_1",33.56193,-109.061769,11,"301","2"
"83","4_1_11_80527_3_11",33.56193,-109.061769,11,"301","2"
"84","4_1_11_80527_3_12",33.56193,-109.061769,11,"301","2"
"85","4_1_11_80527_3_2",33.56193,-109.061769,11,"301","2"
"86","4_1_11_80527_3_3",33.56193,-109.061769,11,"301","2"
"87","4_1_11_80527_3_4",33.56193,-109.061769,11,"301","2"
"88","4_1_11_80527_4_2",33.56193,-109.061769,11,"301","2"
"89","4_1_11_80527_4_3",33.56193,-109.061769,11,"301","2"
"90","4_1_11_80527_4_4",33.56193,-109.061769,11,"301","2"
"91","4_1_11_80552_1_1",33.302588,-109.348123,11,"301","2"
"92","4_1_11_80552_1_2",33.302588,-109.348123,11,"301","2"
"93","4_1_11_80552_1_3",33.302588,-109.348123,11,"301","2"
"94","4_1_11_80552_1_4",33.302588,-109.348123,11,"301","2"
"95","4_1_11_80552_1_7",33.302588,-109.348123,11,"301","2"
"96","4_1_11_80552_2_10",33.302588,-109.348123,11,"301","2"
"97","4_1_11_80552_2_9",33.302588,-109.348123,11,"301","2"
"98","4_1_11_80552_3_1",33.302588,-109.348123,11,"301","2"
"99","4_1_11_80552_3_3",33.302588,-109.348123,11,"301","2"
"100","4_1_11_80552_3_5",33.302588,-109.348123,11,"301","2"
"101","4_1_11_80552_3_7",33.302588,-109.348123,11,"301","2"
"102","4_1_11_80552_4_2",33.302588,-109.348123,11,"301","2"
"103","4_1_11_80552_4_3",33.302588,-109.348123,11,"301","2"
"104","4_1_11_80552_4_6",33.302588,-109.348123,11,"301","2"
"105","4_1_11_80556_1_1",33.52076,-109.326572,11,"301","2"
"106","4_1_11_80556_1_10",33.52076,-109.326572,11,"301","2"
"107","4_1_11_80556_1_11",33.52076,-109.326572,11,"301","2"
"108","4_1_11_80556_1_12",33.52076,-109.326572,11,"301","2"
"109","4_1_11_80556_1_13",33.52076,-109.326572,11,"301","2"
"110","4_1_11_80556_1_14",33.52076,-109.326572,11,"301","2"
"111","4_1_11_80556_1_15",33.52076,-109.326572,11,"301","2"
"112","4_1_11_80556_1_16",33.52076,-109.326572,11,"301","2"
"113","4_1_11_80556_1_18",33.52076,-109.326572,11,"301","2"
"114","4_1_11_80556_1_19",33.52076,-109.326572,11,"301","2"
"115","4_1_11_80556_1_20",33.52076,-109.326572,11,"301","2"
"116","4_1_11_80556_1_3",33.52076,-109.326572,11,"301","2"
"117","4_1_11_80556_1_4",33.52076,-109.326572,11,"301","2"
"118","4_1_11_80556_1_5",33.52076,-109.326572,11,"301","2"
"119","4_1_11_80556_1_6",33.52076,-109.326572,11,"301","2"
"120","4_1_11_80556_1_7",33.52076,-109.326572,11,"301","2"
"121","4_1_11_80556_1_8",33.52076,-109.326572,11,"301","2"
"122","4_1_11_80556_1_9",33.52076,-109.326572,11,"301","2"
"123","4_1_11_80556_2_1",33.52076,-109.326572,11,"301","2"
"124","4_1_11_80556_2_10",33.52076,-109.326572,11,"301","2"
"125","4_1_11_80556_2_11",33.52076,-109.326572,11,"301","2"
"126","4_1_11_80556_2_13",33.52076,-109.326572,11,"301","2"
"127","4_1_11_80556_2_14",33.52076,-109.326572,11,"301","2"
"128","4_1_11_80556_2_15",33.52076,-109.326572,11,"301","2"
"129","4_1_11_80556_2_17",33.52076,-109.326572,11,"301","2"
"130","4_1_11_80556_2_18",33.52076,-109.326572,11,"301","2"
"131","4_1_11_80556_2_2",33.52076,-109.326572,11,"301","2"
"132","4_1_11_80556_2_3",33.52076,-109.326572,11,"301","2"
"133","4_1_11_80556_2_4",33.52076,-109.326572,11,"301","2"
"134","4_1_11_80556_2_5",33.52076,-109.326572,11,"301","2"
"135","4_1_11_80556_2_6",33.52076,-109.326572,11,"301","2"
"136","4_1_11_80556_2_7",33.52076,-109.326572,11,"301","2"
"137","4_1_11_80556_2_8",33.52076,-109.326572,11,"301","2"
"138","4_1_11_80556_2_9",33.52076,-109.326572,11,"301","2"
"139","4_1_11_80556_3_1",33.52076,-109.326572,11,"301","2"
"140","4_1_11_80556_3_2",33.52076,-109.326572,11,"301","2"
"141","4_1_11_80556_3_4",33.52076,-109.326572,11,"301","2"
"142","4_1_11_80556_3_5",33.52076,-109.326572,11,"301","2"
"143","4_1_11_80556_3_7",33.52076,-109.326572,11,"301","2"
"144","4_1_11_80556_3_8",33.52076,-109.326572,11,"301","2"
"145","4_1_11_80556_3_9",33.52076,-109.326572,11,"301","2"
"146","4_1_11_80556_4_1",33.52076,-109.326572,11,"301","2"
"147","4_1_11_80556_4_11",33.52076,-109.326572,11,"301","2"
"148","4_1_11_80556_4_12",33.52076,-109.326572,11,"301","2"
"149","4_1_11_80556_4_14",33.52076,-109.326572,11,"301","2"
"150","4_1_11_80556_4_16",33.52076,-109.326572,11,"301","2"
"151","4_1_11_80556_4_2",33.52076,-109.326572,11,"301","2"
"152","4_1_11_80556_4_4",33.52076,-109.326572,11,"301","2"
"153","4_1_11_80556_4_6",33.52076,-109.326572,11,"301","2"
"154","4_1_11_80556_4_9",33.52076,-109.326572,11,"301","2"
"155","4_1_11_80728_1_1",33.199059,-109.23588,11,"301","2"
"156","4_1_11_80728_2_1",33.199059,-109.23588,11,"301","2"
"157","4_1_11_80728_2_2",33.199059,-109.23588,11,"301","2"
"158","4_1_11_80728_2_3",33.199059,-109.23588,11,"301","2"
"159","4_1_11_80728_2_4",33.199059,-109.23588,11,"301","2"
"160","4_1_11_80728_2_5",33.199059,-109.23588,11,"301","2"
"161","4_1_11_80728_2_6",33.199059,-109.23588,11,"301","2"
"162","4_1_11_80728_3_1",33.199059,-109.23588,11,"301","2"
