"TREE_UNIQUE_ID","PLOT_UNIQUE_ID","SPCD","PLOT","SUBPLOT","SPCDS","COUNTYCD","STATECD","PLT_CN","INVYR","CYCLE","MEASYEAR","CN","COND_CN","CONDID","STATUSCD","DIA","HT","TPA_UNADJ","last_meas_year","last_status","last_DIA","next_meas_year","is_sapling_measured","new_sapling","sapling_sapling","sapling_tree","sapling_dead","sapling_removed","sapling_vanishes_next_year","sapling_not_sampled","sapling_not_measured"
"9_1_11_105_2_1","9_1_11_105",372,105,2,1,11,9,168930843010661,2010,6,2010,242156028010661,242156016010661,2,1,1.1,15,74.965282,NA,NA,NA,2016,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_105_2_1","9_1_11_105",372,105,2,1,11,9,304031886489998,2016,7,2016,459832835489998,459832823489998,2,1,1.3,16,74.965282,2010,1,1.1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"9_1_11_105_4_1","9_1_11_105",372,105,4,1,11,9,168930843010661,2010,6,2010,242156047010661,242156016010661,2,1,1.4,17,74.965282,NA,NA,NA,2016,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_105_4_1","9_1_11_105",372,105,4,1,11,9,304031886489998,2016,7,2016,459832854489998,459832823489998,2,1,2.8,23,74.965282,2010,1,1.4,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"9_1_11_105_4_2","9_1_11_105",372,105,4,1,11,9,168930843010661,2010,6,2010,242156048010661,242156016010661,2,1,1.5,18,74.965282,NA,NA,NA,2016,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_105_4_2","9_1_11_105",372,105,4,1,11,9,304031886489998,2016,7,2016,459832855489998,459832823489998,2,1,2.4,16,74.965282,2010,1,1.5,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"9_1_11_107_1_1","9_1_11_107",372,107,1,2,11,9,122555903010661,2007,5,2008,163788945010661,163744605010661,1,1,1.7,20,74.965282,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"9_1_11_107_1_2","9_1_11_107",541,107,1,1,11,9,122555903010661,2007,5,2008,163788946010661,163744605010661,1,1,2.2,24,74.965282,NA,NA,NA,2012,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_107_1_2","9_1_11_107",541,107,1,1,11,9,247050469010661,2012,6,2012,188372635020004,188372622020004,1,1,2.1,23,74.965282,2008,1,2.2,2018,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_107_1_2","9_1_11_107",541,107,1,1,11,9,445525723489998,2018,7,2018,647441685126144,647441671126144,1,1,2.2,17,74.965282,2012,1,2.1,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"9_1_11_107_1_3","9_1_11_107",375,107,1,2,11,9,122555903010661,2007,5,2008,163788947010661,163744605010661,1,1,1.4,17,74.965282,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"9_1_11_107_1_6","9_1_11_107",372,107,1,1,11,9,445525723489998,2018,7,2018,647441689126144,647441671126144,1,1,1.1,12,74.965282,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"9_1_11_107_4_1","9_1_11_107",379,107,4,1,11,9,122555903010661,2007,5,2008,163788952010661,163744605010661,1,1,1.2,16,74.965282,NA,NA,NA,2012,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_107_4_1","9_1_11_107",379,107,4,1,11,9,247050469010661,2012,6,2012,188372642020004,188372622020004,1,2,NA,NA,NA,2008,1,1.2,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE
"9_1_11_135_2_1","9_1_11_135",762,135,2,1,11,9,55923094010538,2004,5,2003,62173009010538,62172967010538,1,1,1.6,19,74.965282,NA,NA,NA,2008,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_135_2_1","9_1_11_135",762,135,2,1,11,9,119774157010661,2008,6,2008,207503122010661,207503107010661,1,2,NA,NA,NA,2003,1,1.6,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE
"9_1_11_135_2_2","9_1_11_135",762,135,2,1,11,9,55923094010538,2004,5,2003,62173011010538,62172967010538,1,1,3.8,34,74.965282,NA,NA,NA,2008,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_135_2_2","9_1_11_135",762,135,2,1,11,9,119774157010661,2008,6,2008,207503123010661,207503107010661,1,1,6.2,36,6.018046,2003,1,3.8,2014,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_135_2_2","9_1_11_135",762,135,2,1,11,9,14167112020004,2013,7,2014,255170541489998,255170525489998,1,1,7.4,50,6.018046,2008,1,6.2,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_135_2_2","9_1_11_135",762,135,2,1,11,9,567481534126144,2020,8,2020,1225590495290487,1225590480290487,1,1,8.2,56,6.018046,2014,1,7.4,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_135_2_3","9_1_11_135",68,135,2,1,11,9,55923094010538,2004,5,2003,62173013010538,62172967010538,1,1,1.7,15,74.965282,NA,NA,NA,2008,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_135_2_3","9_1_11_135",68,135,2,1,11,9,119774157010661,2008,6,2008,207503124010661,207503107010661,1,2,NA,NA,NA,2003,1,1.7,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE
"9_1_11_135_2_4","9_1_11_135",762,135,2,1,11,9,55923094010538,2004,5,2003,62173015010538,62172967010538,1,1,1.9,21,74.965282,NA,NA,NA,2008,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_135_2_4","9_1_11_135",762,135,2,1,11,9,119774157010661,2008,6,2008,207503125010661,207503107010661,1,1,2.8,28,74.965282,2003,1,1.9,2014,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_135_2_4","9_1_11_135",762,135,2,1,11,9,14167112020004,2013,7,2014,255170542489998,255170525489998,1,1,3.3,31,74.965282,2008,1,2.8,2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_135_2_4","9_1_11_135",762,135,2,1,11,9,567481534126144,2020,8,2020,1225590496290487,1225590480290487,1,1,3.5,28,74.965282,2014,1,3.3,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"9_1_11_135_2_5","9_1_11_135",762,135,2,1,11,9,55923094010538,2004,5,2003,62173017010538,62172967010538,1,1,1.4,17,74.965282,NA,NA,NA,2008,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_135_2_5","9_1_11_135",762,135,2,1,11,9,119774157010661,2008,6,2008,207503126010661,207503107010661,1,1,1.6,19,74.965282,2003,1,1.4,2014,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_135_2_5","9_1_11_135",762,135,2,1,11,9,14167112020004,2013,7,2014,255170543489998,255170525489998,1,2,NA,NA,NA,2008,1,1.6,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE
"9_1_11_135_4_1","9_1_11_135",837,135,4,1,11,9,55923094010538,2004,5,2003,62173055010538,62172967010538,1,1,4,35,74.965282,NA,NA,NA,2008,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9_1_11_135_4_1","9_1_11_135",837,135,4,1,11,9,119774157010661,2008,6,2008,207503148010661,207503107010661,1,2,NA,NA,NA,2003,1,4,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE
"9_1_11_135_4_2","9_1_11_135",316,135,4,1,11,9,55923094010538,2004,5,2003,62173057010538,62172967010538,1,1,4,35,74.965282,NA,NA,NA,2008,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
