"TREE_FIRST_CN","NYEARS","FIRSTYR","LASTYR","SPCD","PLOT","SUBPLOT","STATECD","COUNTYCD","PLOTS","STATES","COUNTIES","UNITS","SPCDS","TREE_UNIQUE_IDS","nlocs"
238504528010854,3,2007,2017,820,37,2,13,37,2,1,2,1,1,2,8
200386873010854,4,2002,2016,611,32,1,37,15,2,1,2,1,1,2,8
228226558010854,2,2009,2014,401,24,1,5,39,2,1,2,1,1,2,8
238504543010854,3,2007,2017,694,37,3,13,37,2,1,2,1,1,2,8
205070423010854,3,2003,2015,544,28,1,12,67,2,1,2,1,1,2,8
235093780010854,3,2009,2019,922,30,2,45,17,2,1,2,1,1,2,8
205394183010854,4,2000,2016,67,93,3,1,25,2,1,2,1,2,2,8
200400558010854,4,2002,2018,832,20,2,37,39,2,1,2,1,1,2,8
200446509010854,4,2002,2016,97,23,2,37,27,2,1,2,1,1,2,8
228226559010854,2,2009,2014,401,24,1,5,39,2,1,2,1,1,2,8
200393096010854,3,2002,2011,694,85,4,37,101,2,1,2,1,1,2,8
205112832010854,3,2004,2016,544,45,1,12,31,2,1,2,1,1,2,8
205112830010854,3,2004,2016,544,45,1,12,31,2,1,2,1,1,2,8
205112883010854,3,2004,2016,544,45,4,12,31,2,1,2,1,1,2,8
235093800010854,3,2009,2019,316,30,4,45,17,2,1,2,1,1,2,8
205070474010854,3,2003,2015,316,28,4,12,67,2,1,2,1,1,2,8
230722103010854,2,2009,2016,131,93,1,1,25,2,1,2,1,1,2,8
238250091010854,3,2009,2019,802,33,1,13,45,2,1,2,1,1,2,8
200393064010854,4,2002,2020,694,85,2,37,101,2,1,2,1,1,2,8
259568121489998,3,2013,2022,316,38,2,37,69,2,1,2,1,1,2,8
238504536010854,3,2007,2017,694,37,3,13,37,2,1,2,1,1,2,8
200393056010854,3,2002,2011,316,85,1,37,101,2,1,2,1,1,2,8
200446506010854,4,2002,2016,16,23,2,37,27,2,1,2,1,1,2,8
230722154010854,2,2009,2016,131,93,4,1,25,2,1,2,1,1,2,8
200386868010854,4,2002,2016,611,32,1,37,15,2,1,2,1,1,2,8
200543196010854,3,2004,2016,16,23,1,37,27,2,1,2,1,1,2,8
238504517010854,3,2007,2017,611,37,2,13,37,2,1,2,1,1,2,8
202474950010854,3,2003,2014,931,6,3,21,89,2,1,2,1,1,2,8
200543280010854,3,2004,2016,16,23,4,37,27,2,1,2,1,1,2,8
200393085010854,4,2002,2020,694,85,4,37,101,2,1,2,1,1,2,8
238250157010854,3,2009,2019,621,33,3,13,45,2,1,2,1,1,2,8
250167232010854,3,2009,2019,391,102,2,51,83,2,1,2,1,1,2,8
200393066010854,4,2002,2020,316,85,2,37,101,2,1,2,1,1,2,8
238250135010854,2,2009,2014,131,33,2,13,45,2,1,2,1,1,2,8
238661052010854,4,2004,2019,111,45,4,13,87,2,1,1,1,2,2,7
200543193010854,3,2004,2016,97,23,1,37,27,2,1,2,1,1,2,8
200386870010854,4,2002,2016,611,32,1,37,15,2,1,2,1,1,2,8
200393069010854,3,2002,2011,316,85,2,37,101,2,1,2,1,1,2,8
200446563010854,4,2002,2016,97,23,4,37,27,2,1,2,1,1,2,8
200393054010854,3,2002,2011,316,85,1,37,101,2,1,2,1,1,2,8
200393086010854,3,2002,2011,694,85,4,37,101,2,1,2,1,1,2,8
202399692010854,3,2000,2014,711,43,2,21,51,2,1,2,2,1,2,9
200575041010854,3,2005,2018,315,20,3,37,39,2,1,2,1,1,2,8
238504516010854,3,2007,2017,694,37,2,13,37,2,1,2,1,1,2,8
252349735010854,3,2010,2020,611,35,3,13,259,2,1,2,1,1,2,8
205394190010854,4,2000,2016,131,93,3,1,25,2,1,2,1,1,2,8
200386885010854,4,2002,2016,611,32,2,37,15,2,1,2,1,1,2,8
205394181010854,4,2000,2016,131,93,3,1,25,2,1,2,1,1,2,8
202399683010854,3,2000,2014,316,43,1,21,51,2,1,2,2,1,2,9
259568167489998,3,2013,2022,621,38,4,37,69,2,1,2,1,1,2,8
205070476010854,3,2003,2015,544,28,4,12,67,2,1,2,1,1,2,8
202399704010854,3,2000,2014,806,43,3,21,51,2,1,2,2,1,2,9
250228182010854,2,2009,2016,371,23,1,37,27,2,1,2,1,1,2,8
238661031010854,2,2004,2009,111,45,2,13,87,2,1,1,1,2,2,7
238250129010854,2,2009,2014,131,33,2,13,45,2,1,2,1,1,2,8
238250175010854,3,2009,2019,621,33,3,13,45,2,1,2,1,1,2,8
202399685010854,3,2000,2014,372,43,2,21,51,2,1,2,2,1,2,9
220216490010854,4,2002,2019,132,102,4,51,83,2,1,2,1,1,2,8
200357148010854,4,2002,2019,316,8,4,37,43,2,1,2,1,1,2,8
200357149010854,4,2002,2019,711,8,4,37,43,2,1,2,1,1,2,8
200446505010854,4,2002,2016,935,23,2,37,27,2,1,2,1,1,2,8
200446513010854,4,2002,2016,97,23,2,37,27,2,1,2,1,1,2,8
238661039010854,4,2004,2019,111,45,3,13,87,2,1,1,1,2,2,7
200357145010854,4,2002,2019,403,8,4,37,43,2,1,2,1,1,2,8
238504547010854,3,2007,2017,691,37,4,13,37,2,1,2,1,1,2,8
238250125010854,3,2009,2019,131,33,2,13,45,2,1,2,1,1,2,8
238504505010854,3,2007,2017,822,37,1,13,37,2,1,2,1,1,2,8
200543229010854,3,2004,2016,97,23,2,37,27,2,1,2,1,1,2,8
205070462010854,3,2003,2015,544,28,3,12,67,2,1,2,1,1,2,8
238250171010854,3,2009,2019,827,33,3,13,45,2,1,2,1,1,2,8
202424930010854,3,2001,2014,316,18,3,21,121,2,1,2,1,1,2,8
200446542010854,4,2002,2016,97,23,3,37,27,2,1,2,1,1,2,8
230722120010854,2,2009,2016,611,93,2,1,25,2,1,2,1,1,2,8
238808379010854,5,2000,2020,611,35,1,13,259,2,1,2,1,1,2,8
200446519010854,4,2002,2016,97,23,2,37,27,2,1,2,1,1,2,8
200446527010854,4,2002,2016,97,23,3,37,27,2,1,2,1,1,2,8
200386884010854,4,2002,2016,744,32,2,37,15,2,1,2,1,1,2,8
202424937010854,3,2001,2014,832,18,4,21,121,2,1,2,1,1,2,8
238250113010854,2,2009,2014,131,33,2,13,45,2,1,2,1,1,2,8
235093781010854,3,2009,2019,922,30,2,45,17,2,1,2,1,1,2,8
42206481010497,2,2002,2012,17,60223,1,41,49,1,1,2,2,1,2,8
216700421010854,4,2000,2019,722,24,3,5,39,2,1,2,1,2,2,8
42213189010497,2,2002,2012,122,84075,4,41,1,1,1,2,1,1,2,7
216700407010854,4,2000,2019,221,24,1,5,39,2,1,2,1,1,2,8
238808408010854,5,2000,2020,694,35,4,13,259,2,1,2,1,1,2,8
200446535010854,4,2002,2016,97,23,3,37,27,2,1,2,1,1,2,8
