"","STATE","STATEFP","STATENS","STATE_NAME"
"1","AL",1,1779775,"Alabama"
"2","AK",2,1785533,"Alaska"
"3","AZ",4,1779777,"Arizona"
"4","AR",5,68085,"Arkansas"
"5","CA",6,1779778,"California"
"6","CO",8,1779779,"Colorado"
"7","CT",9,1779780,"Connecticut"
"8","DE",10,1779781,"Delaware"
"9","DC",11,1702382,"District of Columbia"
"10","FL",12,294478,"Florida"
"11","GA",13,1705317,"Georgia"
"12","HI",15,1779782,"Hawaii"
"13","ID",16,1779783,"Idaho"
"14","IL",17,1779784,"Illinois"
"15","IN",18,448508,"Indiana"
"16","IA",19,1779785,"Iowa"
"17","KS",20,481813,"Kansas"
"18","KY",21,1779786,"Kentucky"
"19","LA",22,1629543,"Louisiana"
"20","ME",23,1779787,"Maine"
"21","MD",24,1714934,"Maryland"
"22","MA",25,606926,"Massachusetts"
"23","MI",26,1779789,"Michigan"
"24","MN",27,662849,"Minnesota"
"25","MS",28,1779790,"Mississippi"
"26","MO",29,1779791,"Missouri"
"27","MT",30,767982,"Montana"
"28","NE",31,1779792,"Nebraska"
"29","NV",32,1779793,"Nevada"
"30","NH",33,1779794,"New Hampshire"
"31","NJ",34,1779795,"New Jersey"
"32","NM",35,897535,"New Mexico"
"33","NY",36,1779796,"New York"
"34","NC",37,1027616,"North Carolina"
"35","ND",38,1779797,"North Dakota"
"36","OH",39,1085497,"Ohio"
"37","OK",40,1102857,"Oklahoma"
"38","OR",41,1155107,"Oregon"
"39","PA",42,1779798,"Pennsylvania"
"40","RI",44,1219835,"Rhode Island"
"41","SC",45,1779799,"South Carolina"
"42","SD",46,1785534,"South Dakota"
"43","TN",47,1325873,"Tennessee"
"44","TX",48,1779801,"Texas"
"45","UT",49,1455989,"Utah"
"46","VT",50,1779802,"Vermont"
"47","VA",51,1779803,"Virginia"
"48","WA",53,1779804,"Washington"
"49","WV",54,1779805,"West Virginia"
"50","WI",55,1779806,"Wisconsin"
"51","WY",56,1779807,"Wyoming"
"52","AS",60,1802701,"American Samoa"
"53","GU",66,1802705,"Guam"
"54","MP",69,1779809,"Commonwealth of the Northern Mariana Islands"
"55","PR",72,1779808,"Puerto Rico"
"56","UM",74,1878752,"U.S. Minor Outlying Islands"
"57","VI",78,1802710,"United States Virgin Islands"
